USE_LICENSE_URL,GUID,SCIENTIFIC_NAME,COUNTRY,STATE_PROV,COUNTY,SPEC_LOCALITY,VERBATIM_DATE,DEC_LAT,DEC_LONG,COORDINATEUNCERTAINTYINMETERS
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:05062","Ambystoma opacum","United States","Tennessee","Stewart County","Land Between The Lakes, LBL road 220, 0.45 mi E (by road) of LBL road 100 (=the Woodlands Trace) at field pond N of road","1991-04-30","36.587119","-87.929135","26"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:00425","Ambystoma opacum","United States","Kentucky","Lyon County","Land Between The Lakes, 0.5 mi S of LBL marker 6C4 at Craven's Creek Bottom","1966-02-13","36.958056","-88.065278","355"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:00915","Ambystoma opacum","United States","Kentucky","Lyon County","Land Between The Lakes, at NE corner of LBL marker 5C","1967-12-01","36.994444","-88.093333","988"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:00916","Ambystoma opacum","United States","Kentucky","Lyon County","Land Between The Lakes, at NE corner of LBL marker 5C","1967-12-01","36.994444","-88.093333","988"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:00920","Ambystoma opacum","United States","Tennessee","Stewart County","About 3.5 mi SW of Bumpus Mills, Bruton Spring Branch, on Luton Farm","1967-06-19","36.576667","-87.880833","508"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:00372","Ambystoma opacum","United States","Kentucky","Lyon County","Land Between The Lakes, Carmack Church at LBL marker 4B1","1966-08-30","37.006389","-88.126661","117"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:00527","Ambystoma opacum","United States","Kentucky","Trigg County","Land Between The Lakes, 0.1 mi S U.S. Hwy. 68 (LBL marker 6H2) on Kentucky Hwy. 453","1965-10-06","36.778038","-88.065907","87"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:02044","Ambystoma opacum","United States","Tennessee","Montgomery County","near Clarksville, Nicholson's Slough","1965-10-06","36.470833","-87.309722","772"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:03311","Ambystoma opacum","United States","Tennessee","Montgomery County","Long Pond Slough, about 6 mi W of Clarksville near Sunnyview, in woods W of slough","1981-10-06","36.498611","-87.424444","845"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:03532","Ambystoma opacum","United States","Tennessee","Cheatham County","Cheatham W.M.A., 1.7 mi S of Chapmansboro post office, stream along railroad track","1982-10-18","36.3175","-87.159722","195"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:02776","Ambystoma opacum","United States","Tennessee","Dickson County","Montgomery Bell State Park","1979-03-30","36.086731","-87.277462","3313"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:03459","Ambystoma opacum","United States","Tennessee","Sullivan County","WETLAND JUST S OF S FORK HOLSTON R OPPOSITE OSCEOLA ISLAND | Land Between the Lakes sector: NA","1998/03/18","","",""
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:04516","Ambystoma opacum","United States","Kentucky","Lyon County","Land Between The Lakes, pond just W of LBL road 117, ca. 0.2 mi S of junction of LBL road 117 and 126","1988-03-05","37.02","-88.096111","199"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:00935","Ambystoma opacum","United States","Kentucky","Lyon County","Land Between The Lakes, at NE corner of LBL marker 5C","1967-10-01","36.994444","-88.093333","988"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:03343","Ambystoma opacum","United States","Tennessee","Scott County","BIG SOUTH FORK NATL RIVER & REC AREA, APPALOOSA FIELD ON S SIDE OF BANDY CR RD CA 0.8 KM NW BANDY CR CAMPGROUND | Land Between the Lakes sector: NA","2002/09/20","","",""
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:03672","Ambystoma opacum","United States","Kentucky","Logan County","On Kentucky Hwy. 102, 1.7 mi N of junction with Kentucky Hwy. 848","1979-05-20","36.68","-87.022222","236"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:03159","Ambystoma opacum","United States","Tennessee","Dickson County","Montgomery Bell State Park, on or near golf course","1979-05-20","36.088707","-87.266175","941"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:03257","Ambystoma opacum","United States","Tennessee","Franklin County","Strip area E shoreline of Elk River within Tims Ford L.P.P. 23","1999-01-23","35.2775","-86.104722","83"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:02801","Ambystoma opacum","United States","Tennessee","Stewart County","About 3.5 mi SW of Bumpus Mills, Bruton Spring Branch, on Luton Farm","1966-01-15","36.576667","-87.880833","508"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:02800","Ambystoma opacum","United States","North Carolina","Harnett County","Nearest town is Angier","1968-10-01","35.507104","-78.739181","2681"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:04655","Ambystoma opacum","United States","Tennessee","Stewart County","Land Between The Lakes, 1.4 mi E LBL road 100, at pond in opening just N of LBL road 220","1988-03-05","36.586667","-87.919722","645"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:05209","Ambystoma opacum","United States","Kentucky","Christian County","Fort Campbell Area 16, ca. 0.25 mi W of Palmyra Rd. on Angels Rd.","1993-03-22","36.645","-87.562222","60"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:03771","Ambystoma opacum","United States","Kentucky","Trigg County","Land Between The Lakes, on LBL road 165, S of LBL road 100 (=the WoodlandsTrace)","1987-06-17","36.772778","-88.061389","240"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:05210","Ambystoma opacum","United States","Tennessee","Montgomery County","Fort Campbell Area 9, ca. 1.1 mi E of Palmyra Rd. on Centerline Rd.","1993-03-22","36.548611","-87.569722","91"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:05211","Ambystoma opacum","United States","Tennessee","Stewart County","Fort Campbell Area 32, Stampers Chapel Rd., 1.2 mi E of Normandy Rd.","1992-10-19","36.574722","-87.677222","88"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:05513","Ambystoma opacum","United States","Tennessee","Stewart County","Fort Campbell, N side Destiny Trail, 0.5 mi W Normandy Loop, Area 34","1994-08-11","36.581389","-87.706944","106"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:03026","Ambystoma opacum","United States","Tennessee","Montgomery County","Perry Farm Ca. 0.75 mi S of Clarksville on Hwy. 41A at Excell Rd. ","1978-10-01","36.505556","-87.250556","458"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:04293","Ambystoma opacum","United States","Tennessee","Montgomery County","Webb Rd., 1.7 mi W (by road) Port Royal Rd. (State Rd. 6352)","1979-05-30","36.618611","-87.203889","276"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:02925","Ambystoma opacum","United States","Tennessee","Robertson County","Cedar Hill Swamp, along L&N railroad","1979-06-29","36.543889","-86.988333","497"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:04598","Ambystoma opacum","United States","Kentucky","Trigg County","Land Between The Lakes, 0.25 mi E of junction of LBL roads 134 and 146, at pond 100 m S of LBL road 134","1988-03-05","36.847778","-88.014167","90"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:05305","Ambystoma opacum","United States","Tennessee","Montgomery County","Shelton Ferry Wetland, Cumberland River floodplain BET river mi 141-144","1994-05-06","36.395278","-87.278333","1381"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:05417","Ambystoma opacum","United States","Tennessee","Stewart County","Land Between The Lakes, LBL road 220, 0.45 mi E (by road) of LBL road 100 (=the Woodlands Trace) at field pond N of road","1995-04-10","36.587119","-87.929135","26"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:04605","Ambystoma opacum","United States","Kentucky","Trigg County","Land Between The Lakes, 0.3 mi E of junction of LBL roads 134 and 327 at pond in woods ca. 100 m W of LBL road 327","1988-10-08","36.868889","-88.015833","97"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:03758","Ambystoma opacum","United States","Tennessee","Stewart County","Land Between The Lakes, LBL road 230 (Blue Springs Rd.), 4.1 mi W of LBL road 100","1986-11-08","36.517222","-87.991111","609"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:05313","Ambystoma opacum","United States","Tennessee","Montgomery County","Shelton Ferry Wetland, Cumberland River floodplain BET river mi 141-144","1994-02-22","36.395278","-87.278333","1381"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:05316","Ambystoma opacum","United States","Tennessee","Montgomery County","Shelton Ferry Wetland, Cumberland River floodplain BET river mi 141-144","1994-02-22","36.395278","-87.278333","1381"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:05200","Ambystoma opacum","United States","Tennessee","Montgomery County","Fort Campbell, Old Clarksville Base, ca. 1.2 mi E of W bridge","1992-05-29","36.618611","-87.476389","211"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:05400","Ambystoma opacum","United States","Tennessee","Montgomery County","Shelton Ferry Wetland, Cumberland River floodplain BET river mi 141-144","1993-04-20","36.395278","-87.278333","1381"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:04007","Ambystoma opacum","United States","Tennessee","Cheatham County","1.1 mi SE (by air) of Cheap Hill on road to Chapmansboro Crossing","1982-04-02","36.328889","-87.141111","1016"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:05519","Ambystoma opacum","United States","Tennessee","Stewart County","Land Between The Lakes, LBL road 220, 0.45 mi E (by road) of LBL road 100 (=the Woodlands Trace) at field pond N of road","1996-10-14","36.587119","-87.929135","26"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:05697","Ambystoma opacum","United States","Tennessee","Stewart County","Land Between The Lakes, LBL road 380; 100 m from Woodlands Trace (=LBL 100)","1998-03-07","36.5925","-87.939444","79"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:05051","Ambystoma opacum","United States","Tennessee","Stewart County","Land Between The Lakes, LBL road 220, 0.45 mi E (by road) of LBL road 100 (=the Woodlands Trace) at field pond N of road","1989-05-05","36.587119","-87.929135","26"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:04985","Ambystoma opacum","United States","Tennessee","Stewart County","Land Between The Lakes, LBL road 220, 0.45 mi E (by road) of LBL road 100 (=the Woodlands Trace) at field pond N of road","1990-05-01","36.587119","-87.929135","26"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:04984","Ambystoma opacum","United States","Tennessee","Stewart County","Land Between The Lakes, LBL road 220, 0.45 mi E (by road) of LBL road 100 (=the Woodlands Trace) at field pond N of road","1988-11-20","36.587119","-87.929135","26"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:05057","Ambystoma opacum","United States","Tennessee","Stewart County","Land Between The Lakes, LBL road 220, 0.45 mi E (by road) of LBL road 100 (=the Woodlands Trace) at field pond N of road","1992-05-04","36.587119","-87.929135","26"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:05997","Ambystoma opacum","United States","Tennessee","Stewart County","Land Between The Lakes, LBL road 220, 0.45 mi E (by road) of LBL road 100 (=the Woodlands Trace) at field pond N of road","1998-09-19","36.587119","-87.929135","26"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:05005","Ambystoma opacum","United States","Tennessee","Stewart County","Land Between The Lakes, LBL road 220, 0.45 mi E (by road) of LBL road 100 (=the Woodlands Trace) at field pond N of road","1987-09-16","36.587119","-87.929135","26"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:05388","Ambystoma opacum","United States","Tennessee","Stewart County","Land Between The Lakes, 0.6 mi E of LBL road 100 along LBL road 220, on N side of road, at ponds","1988-05-10","36.588056","-87.924722","211"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:05043","Ambystoma opacum","United States","Tennessee","Stewart County","Land Between The Lakes, LBL road 220, 0.45 mi E (by road) of LBL road 100 (=the Woodlands Trace) at field pond N of road","1990-09-20","36.587119","-87.929135","26"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:18168","Ambystoma opacum","United States","Tennessee","Hawkins County","25 m S of gravel road, 1000 m SE of Holston Army Ammunition Plant's Filtration Plant","2006-04-13","36.534722","-82.614167","644"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:18170","Ambystoma opacum","United States","Tennessee","Sullivan County","Piney Hill Rd., near South Fork Holston River SW of Osceola Island","1978-05-03","36.516667","-82.122222","1170"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:18171","Ambystoma opacum","United States","Tennessee","Sullivan County","ALONG SOUTH FORK HOLSTON RIVER NEAR OSCEOLA ISLAND ON SOUTH HOLSTON DAM TVA RESERVATION | Land Between the Lakes sector: NA","1970/10/13","","",""
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:05893","Ambystoma opacum","United States","Tennessee","Stewart County","Land Between The Lakes, LBL road 220, 0.45 mi E (by road) of LBL road 100 (=the Woodlands Trace) at field pond N of road","1998-06-13","36.587119","-87.929135","26"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:05894","Ambystoma opacum","United States","Tennessee","Stewart County","Land Between The Lakes, LBL road 220, 0.45 mi E (by road) of LBL road 100 (=the Woodlands Trace) at field pond N of road","1998-05-02","36.587119","-87.929135","26"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:05732","Ambystoma opacum","United States","Tennessee","Stewart County","Land Between The Lakes, LBL road 220, 0.45 mi E (by road) of LBL road 100 (=the Woodlands Trace) at field pond N of road","1997-07-23","36.587119","-87.929135","26"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:04895","Ambystoma opacum","United States","Tennessee","Stewart County","Land Between The Lakes, at LBL marker 8P5, junction of LBL roads 231 and 400","1989-04-04","36.509722","-87.9925","165"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:06056","Ambystoma opacum","United States","Tennessee","Houston County","150 m N Billy Parchman Rd., 1.9 km NE of intersection with Tennessee Hwy. 46","1999-11-21","36.366944","-87.595","389"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:05199","Ambystoma opacum","United States","Tennessee","Montgomery County","Fort Campbell Area 19, ca. 0.4 mi E Los Banos Rd. on Jordan Springs Rd. ","1993-04-17","36.590278","-87.598889","122"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:17675","Ambystoma opacum","United States","Tennessee","Coffee County","OLD STONE FORT STATE PARK CA 800 M SSE OF JCT DUCK AND LITTLE DUCK RIVERS | Land Between the Lakes sector: NA","2003/09/22","","",""
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:05356","Ambystoma opacum","United States","Tennessee","Montgomery County","Shelton Ferry Wetland, 0.1 mi S of Southside Rd. before bluff","1993-03-30","36.403611","-87.268056","36"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:05362","Ambystoma opacum","United States","Tennessee","Montgomery County","Shelton Ferry Wetland, ca. 150 m S of Southside Rd., 350m W Shelton Ferry Rd.","1993-05-20","36.403333","-87.279167","56"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:05806","Ambystoma opacum","United States","Tennessee","Stewart County","Land Between The Lakes, midway between Dry Fork and Hughes Bay, 0.4 mi E junction LBL roads 206 and 392","1991-04-27","36.545833","-88.013056","295"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","APSU:Herp:05807","Ambystoma opacum","United States","Tennessee","Stewart County","Land Between The Lakes, ca. 400 ft S LBL road 394, 0.5 mi N on LBL road 394 from junction with LBL road 206","1991-03-21","36.537222","-88.012222","623"
